Fighter_Id,Fighter_Name,n_fights,weight_lbs,Stance,sig_str_pm,td_per_fight,sub_per_fight,kd_per_fight,ctrl_sec_per_fight,sig_str_accuracy,td_accuracy,head_ratio,body_ratio,leg_ratio,dist_ratio,clinch_ratio,ground_ratio,ko_rate,sub_rate,dec_rate,win_rate,cluster,style_label
0052de90691d4a93,Davi Ramos,5,155.0,Orthodox,2.24609375,1.0,0.4,0.0,101.0,0.3697749196141479,0.4545454545454545,0.6782608695652174,0.1478260869565217,0.1739130434782608,0.7478260869565218,0.0608695652173913,0.1913043478260869,0.0,0.4285714285714285,0.5714285714285714,0.5714285714285714,4,Volume Strikers
00e11b5c8b7bfeeb,Luke Rockhold,8,185.0,Southpaw,3.772455089820359,0.375,0.375,0.25,75.125,0.5398457583547558,0.2,0.5,0.319047619047619,0.1809523809523809,0.7238095238095238,0.0714285714285714,0.2047619047619047,0.6363636363636364,0.2727272727272727,0.0909090909090909,0.4545454545454545,2,Aggressive Strikers
0112352cb32f5026,Denis Tiuliulin,6,185.0,Orthodox,3.614457831325301,0.5,0.0,0.3333333333333333,34.666666666666664,0.4116222760290557,0.4285714285714285,0.6823529411764706,0.2647058823529412,0.0529411764705882,0.8352941176470589,0.1294117647058823,0.0352941176470588,0.5,0.3333333333333333,0.1666666666666666,0.1666666666666666,2,Aggressive Strikers
01641ba5df0c69b0,Gabriel Bonfim,5,170.0,Orthodox,5.435643564356435,1.2,0.8,0.2,28.4,0.4644670050761421,0.8571428571428571,0.5628415300546448,0.1967213114754098,0.2404371584699453,0.9016393442622952,0.0983606557377049,0.0,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.8571428571428571,2,Aggressive Strikers
01b352b6a9074d5c,Chase Sherman,10,250.0,Orthodox,5.865034733708237,0.0,0.0,0.2,26.1,0.4504573170731707,0.0,0.55668358714044,0.2081218274111675,0.2351945854483925,0.883248730964467,0.0829103214890017,0.0338409475465313,0.4,0.1333333333333333,0.4666666666666667,0.3333333333333333,2,Aggressive Strikers
0232cabbc30a2372,Adrian Yanez,7,135.0,Orthodox,6.366473473027196,0.0,0.0,0.8571428571428571,6.142857142857143,0.4175438596491228,0.0,0.7310924369747899,0.1428571428571428,0.1260504201680672,0.8445378151260504,0.0210084033613445,0.134453781512605,0.7777777777777778,0.0,0.2222222222222222,0.6666666666666666,2,Aggressive Strikers
029880cdbf5ca089,Sean Sherk,12,155.0,Orthodox,2.220042796005706,4.166666666666667,0.3333333333333333,0.0,436.4166666666667,0.3469899665551839,0.4424778761061947,0.7493975903614458,0.1036144578313253,0.1469879518072289,0.5301204819277109,0.1566265060240964,0.3132530120481928,0.25,0.0833333333333333,0.6666666666666666,0.6666666666666666,1,Wrestlers / Grapplers
029eaff01e6bb8f0,Dustin Poirier,26,155.0,Southpaw,5.287012538824341,0.9615384615384616,0.8076923076923077,0.4615384615384615,135.80769230769232,0.5021304490331039,0.390625,0.7996083550913838,0.095953002610966,0.1044386422976501,0.7460835509138382,0.1599216710182767,0.0939947780678851,0.4375,0.25,0.28125,0.6875,2,Aggressive Strikers
032cc3922d871c7f,Khabib Nurmagomedov,8,155.0,Orthodox,4.722386296515062,5.875,1.0,0.0,508.375,0.5287698412698413,0.573170731707317,0.8874296435272045,0.075046904315197,0.0375234521575985,0.3846153846153846,0.0150093808630394,0.600375234521576,0.1538461538461538,0.3846153846153846,0.4615384615384615,0.6153846153846154,1,Wrestlers / Grapplers
0359313549d230a1,Pete Sell,7,170.0,Orthodox,2.602739726027397,0.5714285714285714,0.5714285714285714,0.1428571428571428,83.85714285714286,0.4243176178660049,0.2105263157894736,0.7309941520467836,0.1637426900584795,0.1052631578947368,0.8245614035087719,0.1345029239766081,0.0409356725146198,0.5714285714285714,0.1428571428571428,0.2857142857142857,0.2857142857142857,2,Aggressive Strikers
03f982ca3735070c,Walt Harris,11,250.0,Southpaw,2.657342657342657,0.0909090909090909,0.0909090909090909,0.6363636363636364,11.909090909090908,0.3643067846607669,0.1666666666666666,0.6558704453441295,0.2591093117408907,0.0850202429149797,0.708502024291498,0.097165991902834,0.194331983805668,0.6875,0.0625,0.125,0.4375,2,Aggressive Strikers
