Fighter_Id,Fighter_Name,n_fights,weight_lbs,Stance,sig_str_pm,td_per_fight,sub_per_fight,kd_per_fight,ctrl_sec_per_fight,sig_str_accuracy,td_accuracy,head_ratio,body_ratio,leg_ratio,dist_ratio,clinch_ratio,ground_ratio,ko_rate,sub_rate,dec_rate,win_rate
0052de90691d4a93,Arman Tsarukyan,1,155.0,Orthodox,6.066666666666666,1.0,0.0,0.0,188.0,0.4619289340101523,0.2,0.6593406593406593,0.14285714285714285,0.1978021978021978,0.8791208791208791,0.06593406593406594,0.054945054945054944,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714
0052de90691d4a93,Chris Gruetzemacher,1,155.0,Orthodox,4.246153846153846,0.0,0.0,0.0,14.0,0.4742268041237113,0.0,0.5434782608695652,0.21739130434782608,0.2391304347826087,0.8478260869565217,0.08695652173913043,0.06521739130434782,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714
0052de90691d4a93,Davi Ramos,5,155.0,Orthodox,2.24609375,1.0,0.4,0.0,101.0,0.36977491961414793,0.45454545454545453,0.6782608695652174,0.14782608695652175,0.17391304347826086,0.7478260869565218,0.06086956521739131,0.19130434782608696,0.0,0.42857142857142855,0.5714285714285714,0.5714285714285714
009341ed974bad72,Alex Pereira,1,205.0,Orthodox,4.160583941605839,0.0,1.0,1.0,8.0,0.6229508196721312,0.0,0.5526315789473685,0.13157894736842105,0.3157894736842105,0.5789473684210527,0.10526315789473684,0.3157894736842105,0.875,0.125,0.0,0.5
009341ed974bad72,Dominick Reyes,1,205.0,Orthodox,6.643233743409491,1.0,1.0,0.0,29.0,0.5833333333333334,1.0,0.6190476190476191,0.3333333333333333,0.047619047619047616,0.9047619047619048,0.015873015873015872,0.07936507936507936,0.875,0.125,0.0,0.5
009341ed974bad72,Glover Teixeira,1,205.0,Orthodox,4.52445652173913,5.0,1.0,0.0,587.0,0.6894409937888198,0.29411764705882354,0.8828828828828829,0.10810810810810811,0.009009009009009009,0.40540540540540543,0.05405405405405406,0.5405405405405406,0.875,0.125,0.0,0.5
009341ed974bad72,Jiri Prochazka,4,205.0,Orthodox,6.164210526315789,0.25,0.0,0.75,35.75,0.547085201793722,1.0,0.7254098360655737,0.1721311475409836,0.10245901639344263,0.75,0.11475409836065574,0.13524590163934427,0.875,0.125,0.0,0.5
009341ed974bad72,Volkan Oezdemir,1,205.0,Orthodox,7.048710601719198,0.0,0.0,0.0,17.0,0.44565217391304346,0.0,0.7317073170731707,0.07317073170731707,0.1951219512195122,1.0,0.0,0.0,0.875,0.125,0.0,0.5
00debc804e2b1cd4,Brad Scott,1,185.0,Switch,4.242424242424242,1.0,1.0,0.0,306.0,0.56,0.25,0.8333333333333334,0.16666666666666666,0.0,0.40476190476190477,0.40476190476190477,0.19047619047619047,0.8,0.2,0.0,1.0
00debc804e2b1cd4,Clint Hester,1,185.0,Switch,2.7,1.0,0.0,0.0,210.0,0.46551724137931033,1.0,0.7037037037037037,0.14814814814814814,0.14814814814814814,0.6666666666666666,0.14814814814814814,0.18518518518518517,0.8,0.2,0.0,1.0
00debc804e2b1cd4,Dylan Andrews,2,185.0,Switch,2.684563758389262,1.0,0.0,0.5,39.0,0.5797101449275363,0.4,0.8,0.1,0.1,0.425,0.175,0.4,0.8,0.2,0.0,1.0
00debc804e2b1cd4,Sam Alvey,1,185.0,Switch,2.6470588235294117,0.0,0.0,0.0,2.0,0.8571428571428571,0.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.8,0.2,0.0,1.0
00e11b5c8b7bfeeb,Chris Weidman,1,185.0,Southpaw,2.6373626373626373,3.0,0.0,0.0,267.0,0.64,0.5,0.5208333333333334,0.375,0.10416666666666667,0.8333333333333334,0.14583333333333334,0.020833333333333332,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.45454545454545453
00e11b5c8b7bfeeb,Luke Rockhold,8,185.0,Southpaw,3.772455089820359,0.375,0.375,0.25,75.125,0.5398457583547558,0.2,0.5,0.319047619047619,0.18095238095238095,0.7238095238095238,0.07142857142857142,0.20476190476190476,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.45454545454545453
00e11b5c8b7bfeeb,Lyoto Machida,1,185.0,Southpaw,1.729490022172949,0.0,0.0,0.0,85.0,0.48148148148148145,0.0,0.5384615384615384,0.0,0.46153846153846156,0.9230769230769231,0.0,0.07692307692307693,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.45454545454545453
00e11b5c8b7bfeeb,Michael Bisping,1,185.0,Southpaw,5.833333333333333,0.0,0.0,2.0,3.0,0.42,0.0,0.6666666666666666,0.14285714285714285,0.19047619047619047,0.8095238095238095,0.047619047619047616,0.14285714285714285,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.45454545454545453
